Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
251,explore_point,explore_point_1.0_-1.5,Rover1,6483.900000014823,6681.750000015542
245,explore_point,explore_point_1.0_-4.5,Rover0,6419.200000014587,6682.950000015547
244,explore_point,explore_point_1.0_-5.0,Rover2,6419.150000014587,6686.70000001556
252,explore_point,explore_point_1.0_-1.0,Rover1,6682.300000015544,6688.1000000155655
255,explore_point,explore_point_1.0_0.5,Rover1,6688.6500000155675,6699.750000015608
256,explore_point,explore_point_1.0_1.0,Rover1,6700.30000001561,6705.000000015627
257,explore_point,explore_point_1.0_1.5,Rover1,6705.550000015629,6709.450000015643
253,explore_point,explore_point_1.0_-0.5,Rover0,6683.500000015549,6712.250000015653
258,explore_point,explore_point_1.0_2.0,Rover1,6710.000000015645,6715.750000015666
254,explore_point,explore_point_1.0_0.0,Rover2,6687.250000015562,6722.650000015691
260,explore_point,explore_point_1.0_3.0,Rover1,6716.300000015668,6723.8500000156955
262,explore_point,explore_point_1.0_4.0,Rover1,6724.4000000156975,6731.900000015725
263,explore_point,explore_point_1.0_4.5,Rover1,6732.450000015727,6736.350000015741
259,explore_point,explore_point_1.0_2.5,Rover0,6712.800000015655,6737.950000015747
264,explore_point,explore_point_1.0_5.0,Rover1,6736.900000015743,6742.250000015762
261,explore_point,explore_point_1.0_3.5,Rover2,6723.200000015693,6933.90000001646
265,explore_point,explore_point_1.5_-5.0,Rover0,6738.500000015749,6971.650000016597
266,explore_point,explore_point_1.5_-4.5,Rover1,6742.750000015764,6974.150000016606
268,explore_point,explore_point_1.5_-3.5,Rover0,6972.200000016599,7182.600000017364
267,explore_point,explore_point_1.5_-4.0,Rover2,6934.450000016462,7184.300000017371
269,explore_point,explore_point_1.5_-3.0,Rover1,6974.700000016608,7184.800000017372
270,explore_point,explore_point_1.5_-2.5,Rover0,7183.150000017366,7191.350000017396
272,explore_point,explore_point_1.5_-1.5,Rover1,7185.300000017374,7196.450000017415
271,explore_point,explore_point_1.5_-2.0,Rover2,7185.200000017374,7199.350000017425
273,explore_point,explore_point_1.5_-1.0,Rover0,7191.900000017398,7204.300000017443
274,explore_point,explore_point_1.5_-0.5,Rover1,7197.000000017417,7206.00000001745
276,explore_point,explore_point_1.5_0.5,Rover0,7204.850000017445,7215.400000017484
275,explore_point,explore_point_1.5_0.0,Rover2,7199.900000017427,7216.550000017488
277,explore_point,explore_point_1.5_1.0,Rover1,7206.550000017452,7218.950000017497
278,explore_point,explore_point_1.5_1.5,Rover0,7215.950000017486,7224.750000017518
280,explore_point,explore_point_1.5_2.5,Rover1,7219.500000017499,7230.050000017537
279,explore_point,explore_point_1.5_2.0,Rover2,7217.10000001749,7232.550000017546
281,explore_point,explore_point_1.5_3.0,Rover0,7225.30000001752,7236.5000000175605
282,explore_point,explore_point_1.5_3.5,Rover1,7230.600000017539,7238.800000017569
283,explore_point,explore_point_1.5_4.0,Rover2,7233.100000017548,7247.900000017602
284,explore_point,explore_point_1.5_4.5,Rover0,7237.0500000175625,7249.050000017606
285,explore_point,explore_point_1.5_5.0,Rover1,7239.350000017571,7441.150000018305
287,explore_point,explore_point_2.0_-4.5,Rover0,7249.600000017608,7692.300000019219
286,explore_point,explore_point_2.0_-5.0,Rover2,7248.450000017604,7693.650000019224
288,explore_point,explore_point_2.0_-4.0,Rover1,7441.700000018307,7696.450000019234
289,explore_point,explore_point_2.0_-3.5,Rover0,7692.850000019221,7699.850000019246
291,explore_point,explore_point_2.0_-2.5,Rover1,7697.000000019236,7708.150000019276
290,explore_point,explore_point_2.0_-3.0,Rover2,7694.200000019226,7709.05000001928
292,explore_point,explore_point_2.0_-2.0,Rover0,7700.400000019248,7713.4000000192955
293,explore_point,explore_point_2.0_-1.5,Rover1,7709.05000001928,7719.100000019316
294,explore_point,explore_point_2.0_-1.0,Rover2,7709.600000019282,7725.60000001934
295,explore_point,explore_point_2.0_-0.5,Rover0,7713.9500000192975,7726.950000019345
